timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:40.103704,avaliacoes,eventual,7.462978363037109,True,
2025-07-31T22:20:40.161347,avaliacoes,eventual,7.223367691040039,True,
2025-07-31T22:20:40.219128,avaliacoes,eventual,7.366418838500977,True,
2025-07-31T22:20:40.273372,avaliacoes,eventual,3.8716793060302734,True,
2025-07-31T22:20:40.332234,avaliacoes,eventual,8.401155471801758,True,
2025-07-31T22:20:40.388834,avaliacoes,eventual,6.179571151733398,True,
2025-07-31T22:20:40.448597,avaliacoes,eventual,9.33837890625,True,
2025-07-31T22:20:40.505676,avaliacoes,eventual,6.693601608276367,True,
2025-07-31T22:20:40.566156,avaliacoes,eventual,9.859561920166016,True,
2025-07-31T22:20:40.625401,avaliacoes,eventual,9.014606475830078,True,
2025-07-31T22:20:40.679241,avaliacoes,eventual,3.6580562591552734,True,
2025-07-31T22:20:40.734514,avaliacoes,eventual,5.100727081298828,True,
2025-07-31T22:20:40.790956,avaliacoes,eventual,6.269216537475586,True,
2025-07-31T22:20:40.845954,avaliacoes,eventual,4.849910736083984,True,
2025-07-31T22:20:40.901645,avaliacoes,eventual,5.549430847167969,True,
2025-07-31T22:20:40.957117,avaliacoes,eventual,5.29932975769043,True,
